VA_Set,Heurística,Ejecución,VA_Temp,VO_Temp,VA_Hum,VO_Hum,VA_Noise,VO_Noise,VA_Light,VO_Luz,Satisfacción,Satisfacción_S,Satisfacción_E
0,Busqueda Local,1,28,24.251051462571894,82,51.01484779754692,60,1.1196232165408704,130,228.4990998843777,0.49996749999999995,0.47784,0.5220975
0,Busqueda Local,2,28,25.741314350668258,82,55.714052134282994,60,25.011789205005485,130,477.85954843906507,0.4999674999999999,0.52205,0.47789000000000004
0,Busqueda Local,3,28,22.917290451258847,82,53.30285532325791,60,25.890234497299673,130,455.05700800173236,0.49996874999999996,0.38495999999999997,0.6149899999999999
0,Busqueda Local,4,28,18.13907230643274,82,44.87801798177629,60,10.292427302695419,130,401.6594791490286,0.49996749999999995,0.64312,0.35682499999999995
0,Busqueda Local,5,28,24.465444283445006,82,54.94524376960008,60,3.918109236110958,130,431.7799804009726,0.49996749999999995,0.52918,0.470755
0,Busqueda Local,6,28,21.090731109335167,82,43.02287459971897,60,32.211898217705254,130,319.3390978958212,0.49996749999999995,0.7223999999999999,0.2775525
0,Busqueda Local,7,28,25.67570414968842,82,42.202818548199616,60,9.166804188155718,130,404.8991747760409,0.4999674999999999,0.65109,0.34885249999999995
0,Busqueda Local,8,28,19.51890002684355,82,43.94445219213078,60,17.75428175566808,130,301.93927388739723,0.49996749999999995,0.57644,0.42349749999999997
0,Busqueda Local,9,28,24.612015264973703,82,51.35561619469607,60,46.85178378880925,130,489.7393234549347,0.49996749999999995,0.6261599999999999,0.37377499999999997
0,Busqueda Local,10,28,19.759526088783602,82,45.87246988257009,60,45.61338642725122,130,267.85981724554665,0.4999675,0.54484,0.45514999999999994
0,Busqueda Local,11,28,25.85840132345743,82,48.95161043001539,60,42.435845976700755,130,491.1797556210394,0.4999674999999999,0.4445,0.5555275
0,Busqueda Local,12,28,22.698720463050954,82,51.013206122731944,60,30.332682674737782,130,236.77882064442935,0.4999674999999999,0.49025,0.5096875000000001
0,Busqueda Local,13,28,25.896824275103306,82,53.3340401572528,60,24.548590631413866,130,402.978973597209,0.49996749999999995,0.39265,0.607355
0,Busqueda Local,14,28,22.423214720264546,82,58.70126981623049,60,47.90774666447417,130,452.2996680303979,0.4999674999999999,0.26728,0.7326874999999999
0,Busqueda Local,15,28,21.57747642315351,82,53.86527206593199,60,19.60225186393677,130,476.5388537600476,0.49996749999999995,0.53226,0.46768249999999995
0,Busqueda Local,16,28,19.430904740881587,82,46.40922786635795,60,19.99826622496901,130,295.3388814657322,0.49996749999999995,0.61923,0.38075249999999994
0,Busqueda Local,17,28,18.227711616964342,82,42.790096324662755,60,48.67102263682826,130,452.8996437834146,0.4999675,0.59833,0.401605
0,Busqueda Local,18,28,21.34512894900338,82,58.084460201383415,60,21.635037756058793,130,346.93954516632493,0.49996749999999995,0.56275,0.43720499999999995
0,Busqueda Local,19,28,24.76562801432725,82,55.04606535668854,60,43.54213872947765,130,385.81964487834443,0.4999674999999999,0.20886000000000002,0.7911499999999999
0,Busqueda Local,20,28,22.260039763448113,82,40.51081207639086,60,42.423683161822275,130,375.258864395494,0.49996749999999995,0.54723,0.45270499999999997
0,Busqueda Local,21,28,22.745144300994426,82,42.486001240328235,60,32.75405946232594,130,465.8588814670578,0.49996749999999995,0.61525,0.38469749999999997
0,Busqueda Local,22,28,24.341936340896737,82,43.97802925386998,60,41.55967614701116,130,344.41978637647105,0.49996749999999995,0.56672,0.43322
0,Busqueda Local,23,28,24.584175897114918,82,47.27167079307824,60,20.314814993424633,130,256.0993727887687,0.4999674999999999,0.30185,0.6980899999999999
0,Busqueda Local,24,28,22.36403607323816,82,41.59240466466842,60,42.86783666262026,130,298.09970395487716,0.49996749999999995,0.40066999999999997,0.5992725
0,Busqueda Local,25,28,21.894245835238962,82,49.686004433987044,60,32.324663756328945,130,351.85973732917296,0.49996749999999995,0.56472,0.43522500000000003
0,Busqueda Local,26,28,21.657460163069455,82,57.017277812563734,60,18.519756147266452,130,396.0196727530581,0.49996749999999995,0.39081,0.6091325
0,Busqueda Local,27,28,21.622271149970054,82,59.85568328608619,60,48.58222675632946,130,462.01955688234773,0.49996749999999995,0.46962,0.5303175
0,Busqueda Local,28,28,20.167231664685684,82,49.617214113920696,60,56.97973830206725,130,494.29852276274465,0.49996749999999995,0.45501,0.5449250000000001
0,Busqueda Local,29,28,21.277307015163537,82,58.735681088588095,60,47.23086880928274,130,302.29957442710594,0.4999674999999999,0.27488,0.7250624999999999
0,Busqueda Local,30,28,22.96561529351637,82,53.01560698833247,60,35.286258659493576,130,284.4197855143148,0.49996749999999995,0.43527,0.5646675
1,Busqueda Local,1,23,18.011705117261705,81,47.41803297625147,61,14.451744981012926,4018,200.6272012041785,0.37530374999999994,0.5558099999999999,0.1948025
1,Busqueda Local,2,23,25.9884793798428,81,59.873217743013434,61,57.36865139594974,4018,200.66600071059474,0.37547499999999995,0.06862,0.6823325
1,Busqueda Local,3,23,18.03408222666651,81,51.95245599801589,61,36.47162575812883,4018,200.0247465551781,0.37517,0.37919,0.39395
1,Busqueda Local,4,23,18.002988026326967,81,41.57161457252509,61,1.7990382638041535,4018,200.51564188417723,0.3752125,0.76166,0.027264999999999998
1,Busqueda Local,5,23,25.99344086519087,81,46.14129607570606,61,4.578001398475237,4018,200.91425102377082,0.37549499999999997,0.24133,0.50967
1,Busqueda Local,6,23,25.995486466896676,81,53.257268524255444,61,37.18699546432143,4018,202.98113120474437,0.37631499999999996,0.29125999999999996,0.4613725
